source;target;value;color
0;18;1;rgba(158,158,158,0.4)

1;21;1;rgba(158,158,158,0.3)
2;21;1;rgba(158,158,158,0.3)
2;22;1;rgba(121,85,72,0.3)
3;21;1;rgba(158,158,158,0.3)
3;22;1;rgba(121,85,72,0.3)

4;20;1;rgba(96,125,139,0.3)
5;20;1;rgba(96,125,139,0.3)

6;22;1;rgba(121,85,72,0.3)
7;21;1;rgba(158,158,158,0.3)
8;22;1;rgba(121,85,72,0.3)
9;21;1;rgba(158,158,158,0.3)
10;21;1;rgba(158,158,158,0.3)
11;22;1;rgba(121,85,72,0.3)
12;22;1;rgba(121,85,72,0.3)
13;21;1;rgba(158,158,158,0.3)
14;22;1;rgba(121,85,72,0.3)
15;21;1;rgba(158,158,158,0.3)
16;22;1;rgba(121,85,72,0.3)

17;18;1;rgba(158,158,158,0.4)

20;23;2;rgba(96,125,139,0.3)
21;23;8;rgba(158,158,158,0.3)
22;23;8;rgba(121,85,72,0.3)

24;0;2;rgba(0,150,136,0.2)
24;1;2;rgba(0,150,136,0.2)

25;2;3;rgba(86,135,159,0.3)
25;3;3;rgba(86,135,159,0.3)
25;4;2;rgba(86,135,159,0.3)
25;5;2;rgba(86,135,159,0.3)
25;6;2;rgba(86,135,159,0.3)
25;7;2;rgba(86,135,159,0.3)
25;8;2;rgba(86,135,159,0.3)

26;9;1;rgba(156,39,176,0.2)
26;10;1;rgba(156,39,176,0.2)
26;11;2;rgba(156,39,176,0.2)
26;12;1;rgba(156,39,176,0.2)

27;13;2;rgba(63,81,181,0.2)
27;14;2;rgba(63,81,181,0.2)
27;15;2;rgba(63,81,181,0.2)
27;16;1;rgba(63,81,181,0.2)

28;17;2;rgba(3,169,244,0.2)

0;19;1;rgba(225,152,50,0.3)
1;19;1;rgba(225,152,50,0.3)
2;19;1;rgba(225,152,50,0.3)
3;19;1;rgba(225,152,50,0.3)
4;19;1;rgba(225,152,50,0.3)
5;19;1;rgba(225,152,50,0.3)
6;19;1;rgba(225,152,50,0.3)
7;19;1;rgba(225,152,50,0.3)
8;19;1;rgba(225,152,50,0.3)
11;19;1;rgba(225,152,50,0.3)
13;19;1;rgba(225,152,50,0.3)
14;19;1;rgba(225,152,50,0.3)
15;19;1;rgba(225,152,50,0.3)
17;19;1;rgba(225,152,50,0.3)
